ticker,name,run_date,prior_status,new_status,prior_score,new_score
SCHAEFFLER,Schaeffler India Ltd,2026-04-06,New,Watchlist,,64.31
HAL,Hindustan Aeronautics Ltd,2026-04-06,New,Investable,,77.44
DHAMPURSUG,Dhampur Sugar Mills Ltd,2026-04-06,New,Watchlist,,61.14
CIPLA,Cipla Ltd,2026-04-06,New,Investable,,75.73
PNBHOUSING,PNB Housing Finance Ltd,2026-04-06,New,Investable,,70.01
GLOBAL,Global Education Ltd,2026-04-06,New,Watchlist,,68.94
SBIN,State Bank of India,2026-04-06,New,Watchlist,,64.06
OFSS,Oracle Financial Services Software Ltd,2026-04-06,New,Watchlist,,63.9
PNCINFRA,PNC Infratech Ltd,2026-04-06,New,Watchlist,,58.48
MUTHOOTFIN,Muthoot Finance Ltd,2026-04-06,New,Watchlist,,66.58
IDFCFIRSTB,IDFC First Bank Ltd,2026-04-06,New,Watchlist,,59.44
CONCORDBIO,Concord Biotech Ltd,2026-04-06,New,Investable,,71.98
INDIGOPNTS,Indigo Paints Ltd,2026-04-06,New,Investable,,75.03
BLACKBUCK,Blackbuck Ltd,2026-04-06,New,Watchlist,,69.81
KPITTECH,KPIT Technologies Ltd,2026-04-06,New,Watchlist,,65.51
IGIL,International Gemmological Institute (India) Ltd,2026-04-06,New,Watchlist,,65.96
INDUSINDBK,IndusInd Bank Ltd,2026-04-06,New,Watchlist,,61.9
ACC,ACC Ltd,2026-04-06,New,Investable,,77.62
EIHOTEL,EIH Ltd,2026-04-06,New,Investable,,70.54
IGL,Indraprastha Gas Ltd,2026-04-06,New,Watchlist,,67.3
CHAMBLFERT,Chambal Fertilisers & Chemicals Ltd,2026-04-06,New,Investable,,71.45
UNIONBANK,Union Bank of India,2026-04-06,New,Watchlist,,66.45
JPPOWER,Jaiprakash Power Ventures Ltd,2026-04-06,New,Watchlist,,65.76
AKZOINDIA,Akzo Nobel India Ltd,2026-04-06,New,Investable,,72.53
GATEWAY,Gateway Distriparks Ltd,2026-04-06,New,Investable,,71.77
DOMS,DOMS Industries Ltd,2026-04-06,New,Watchlist,,58.42
MARUTI,Maruti Suzuki India Ltd,2026-04-06,New,Watchlist,,68.38
CUMMINSIND,Cummins India Ltd,2026-04-06,New,Watchlist,,65.27
ALLCARGO,Allcargo Logistics Ltd,2026-04-06,New,Watchlist,,53.67
POLYCAB,Polycab India Ltd,2026-04-06,New,Watchlist,,68.24
ZENTEC,Zen Technologies Ltd,2026-04-06,New,Investable,,70.65
JBCHEPHARM,J B Chemicals & Pharmaceuticals Ltd,2026-04-06,New,Watchlist,,65.13
3MINDIA,3M India Ltd,2026-04-06,New,Watchlist,,63.12
KSCL,Kaveri Seed Company Ltd,2026-04-06,New,Investable,,72.06
COLPAL,Colgate-Palmolive (India) Ltd,2026-04-06,New,Watchlist,,66.99
ARMANFIN,Arman Financial Services Ltd,2026-04-06,New,Watchlist,,61.38
TDPOWERSYS,TD Power Systems Ltd,2026-04-06,New,Watchlist,,65.89
EMSLIMITED,EMS Ltd,2026-04-06,New,Investable,,71.69
SKFINDIA,SKF India Ltd,2026-04-06,New,Investable,,76.63
UNITDSPR,United Spirits Ltd,2026-04-06,New,Watchlist,,64.07
FINEORG,Fine Organic Industries Ltd,2026-04-06,New,Watchlist,,66.09
MPSLTD,MPS Ltd,2026-04-06,New,Watchlist,,65.02
BANKINDIA,Bank of India,2026-04-06,New,Watchlist,,69.48
ESABINDIA,Esab India Ltd,2026-04-06,New,Investable,,72.39
AADHARHFC,Aadhar Housing Finance Ltd,2026-04-06,New,Watchlist,,64.66
NUCLEUS,Nucleus Software Exports Ltd,2026-04-06,New,Watchlist,,67.09
BPCL,Bharat Petroleum Corporation Ltd,2026-04-06,New,Investable,,75.07
FIEMIND,Fiem Industries Ltd,2026-04-06,New,Watchlist,,67.57
KANSAINER,Kansai Nerolac Paints Ltd,2026-04-06,New,Investable,,71.86
INDIASHLTR,India Shelter Finance Corporation Ltd,2026-04-06,New,Watchlist,,63.44
ANANDRATHI,Anand Rathi Wealth Ltd,2026-04-06,New,Watchlist,,52.68
MASFIN,MAS Financial Services Ltd,2026-04-06,New,Watchlist,,67.59
TI,Tilaknagar Industries Ltd,2026-04-06,New,Watchlist,,58.39
BALUFORGE,Balu Forge Industries Ltd,2026-04-06,New,Watchlist,,69.67
KSOLVES,Ksolves India Ltd,2026-04-06,New,Watchlist,,68.35
CDSL,Central Depository Services (India) Ltd,2026-04-06,New,Watchlist,,62.44
SYNGENE,Syngene International Ltd,2026-04-06,New,Watchlist,,68.92
STYLAMIND,Stylam Industries Ltd,2026-04-06,New,Watchlist,,67.43
BSE,BSE Ltd,2026-04-06,New,Watchlist,,58.48
IREDA,Indian Renewable Energy Development Agency Ltd,2026-04-06,New,Watchlist,,61.03
CLEAN,Clean Science & Technology Ltd,2026-04-06,New,Watchlist,,69.79
KFINTECH,KFin Technologies Ltd,2026-04-06,New,Watchlist,,60.08
INDIAMART,Indiamart Intermesh Ltd,2026-04-06,New,Investable,,70.92
SIRCA,Sirca Paints India Ltd,2026-04-06,New,Watchlist,,66.62
GOLDIAM,Goldiam International Ltd,2026-04-06,New,Investable,,73.87
EIEL,Enviro Infra Engineers Ltd,2026-04-06,New,Watchlist,,57.05
GPPL,Gujarat Pipavav Port Ltd,2026-04-06,New,Watchlist,,68.54
TRITURBINE,Triveni Turbine Ltd,2026-04-06,New,Investable,,72.07
ECOSMOBLTY,Ecos (India) Mobility & Hospitality Ltd,2026-04-06,New,Investable,,71.76
JAMNAAUTO,Jamna Auto Industries Ltd,2026-04-06,New,Watchlist,,69.1
CMSINFO,CMS Info Systems Ltd,2026-04-06,New,Watchlist,,67.64
NPST,Network People Services Technologies Ltd,2026-04-06,New,Watchlist,,60.3
MAITHANALL,Maithan Alloys Ltd,2026-04-06,New,Watchlist,,67.05
SHARDACROP,Sharda Cropchem Ltd,2026-04-06,New,Watchlist,,68.79
BALAJEE,Shree Tirupati Balajee Agro Trading Co. Ltd,2026-04-06,New,Watchlist,,59.72
GMRP&UI,GMR Power & Urban Infra Ltd,2026-04-06,New,Watchlist,,65.26
CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,2026-04-06,New,Watchlist,,60.36
IEX,Indian Energy Exchange Ltd,2026-04-06,New,Watchlist,,61.85
BAJFINANCE,Bajaj Finance Ltd,2026-04-06,New,Watchlist,,59.61
LEMONTREE,Lemon Tree Hotels Ltd,2026-04-06,New,Watchlist,,64.65
NEWGEN,Newgen Software Technologies Ltd,2026-04-06,New,Watchlist,,59.58
MAYURUNIQ,Mayur Uniquoters Ltd,2026-04-06,New,Investable,,75.17
MARICO,Marico Ltd,2026-04-06,New,Investable,,70.28
